Name,ShortName,ModeAndPID,Equation,Min Value,Max Value,Units,Header
Cell Voltage 60,cell_60_volts,0x220103,af/50,2.80,4.20,V,7E4
Cell Voltage 61,cell_61_volts,0x220103,ag/50,2.80,4.20,V,7E4
Cell Voltage 62,cell_62_volts,0x220103,ah/50,2.80,4.20,V,7E4
Cell Voltage 63,cell_63_volts,0x220103,ai/50,2.80,4.20,V,7E4
Cell Voltage 64,cell_64_volts,0x220103,aj/50,2.80,4.20,V,7E4
Cell Voltage 65,cell_65_volts,0x220104,e/50,2.80,4.20,V,7E4
Cell Voltage 66,cell_66_volts,0x220104,f/50,2.80,4.20,V,7E4
Cell Voltage 67,cell_67_volts,0x220104,g/50,2.80,4.20,V,7E4
Cell Voltage 68,cell_68_volts,0x220104,h/50,2.80,4.20,V,7E4
Cell Voltage 69,cell_69_volts,0x220104,i/50,2.80,4.20,V,7E4
Cell Voltage 70,cell_70_volts,0x220104,j/50,2.80,4.20,V,7E4
Cell Voltage 71,cell_71_volts,0x220104,k/50,2.80,4.20,V,7E4
Cell Voltage 72,cell_72_volts,0x220104,l/50,2.80,4.20,V,7E4
Cell Voltage 73,cell_73_volts,0x220104,m/50,2.80,4.20,V,7E4
Cell Voltage 74,cell_74_volts,0x220104,n/50,2.80,4.20,V,7E4
Cell Voltage 75,cell_75_volts,0x220104,o/50,2.80,4.20,V,7E4
Cell Voltage 76,cell_76_volts,0x220104,p/50,2.80,4.20,V,7E4
Cell Voltage 77,cell_77_volts,0x220104,q/50,2.80,4.20,V,7E4
Cell Voltage 78,cell_78_volts,0x220104,r/50,2.80,4.20,V,7E4
Cell Voltage 79,cell_79_volts,0x220104,s/50,2.80,4.20,V,7E4
Cell Voltage 80,cell_80_volts,0x220104,t/50,2.80,4.20,V,7E4
Cell Voltage 81,cell_81_volts,0x220104,u/50,2.80,4.20,V,7E4
Cell Voltage 82,cell_82_volts,0x220104,v/50,2.80,4.20,V,7E4
Cell Voltage 83,cell_83_volts,0x220104,w/50,2.80,4.20,V,7E4
Cell Voltage 84,cell_84_volts,0x220104,x/50,2.80,4.20,V,7E4
Cell Voltage 85,cell_85_volts,0x220104,y/50,2.80,4.20,V,7E4
Cell Voltage 86,cell_86_volts,0x220104,z/50,2.80,4.20,V,7E4
Cell Voltage 87,cell_87_volts,0x220104,aa/50,2.80,4.20,V,7E4
Cell Voltage 88,cell_88_volts,0x220104,ab/50,2.80,4.20,V,7E4
Cell Voltage 89,cell_89_volts,0x220104,ac/50,2.80,4.20,V,7E4
Cell Voltage 90,cell_90_volts,0x220104,ad/50,2.80,4.20,V,7E4
Cell Voltage 91,cell_91_volts,0x220104,ae/50,2.80,4.20,V,7E4
Cell Voltage 92,cell_92_volts,0x220104,af/50,2.80,4.20,V,7E4
Cell Voltage 93,cell_93_volts,0x220104,ag/50,2.80,4.20,V,7E4
Cell Voltage 94,cell_94_volts,0x220104,ah/50,2.80,4.20,V,7E4
Cell Voltage 95,cell_95_volts,0x220104,ai/50,2.80,4.20,V,7E4
Cell Voltage 96,cell_96_volts,0x220104,aj/50,2.80,4.20,V,7E4
Cell Voltage 97,cell_97_volts,0x220105,ai/50,2.80,4.20,V,7E4
Cell Voltage 98,cell_98_volts,0x220105,aj/50,2.80,4.20,V,7E4
